recordId,drugName,condition,reviewComment,date,usefulCount,sideEffects,rating
219597,Microgestin Fe 1.5 / 30,Birth Control,"""I was on Microgestin Fe 1/20 for three months prior to this, I switched because I was getting my period every two weeks. So I switched and I&#039;m so glad I did. Period is completely regulated out again like it was before I started birth control. No weight gain (actually weight loss), no mood swings, no change in libido. Worst parts of this were feeling nauseous for the first three days I was on it (nausea went away after), one pimple, and cramps the first day of my period. Overall, the pros outweigh the cons by miles, so I would recommend this to anyone!""",10-Sep-17,1,Severe Side Effects,5
134044,Prednisone,Cluster Headaches,"""Have had clusters for 45 years, remember the first one. Ergotamine inhaler worked almost instantaneously but gave me a nasty depression. I take prednisone 2(10mg) at breakfast , 1(10mg) at dinner. Tried taking less and headaches come back with a vengeance! They mess with my digestive tract some , and sharp increase in appetite, and an increase in sexual desire. It is not supposed to do that. I will stay on this medication till the cluster cycle ends""",29-Aug-17,0,Moderate Side Effects,5
68176,Plan B,Emergency Contraception,"""On June 6th 2015 I took plan B 4 HOURS after unprotected sex....on June 19th my blood work came back positive for pregnancy...I contacted plan B and now there sending me all these letters to contact them for more questions.....Plan B failed me....even after 4 hours it didn&#039;t work...I&#039;m looking into any other women this has happening to....I think packaging needs to be changed""",6-Jul-15,13,Mild Side Effects,5
200538,Varenicline,Smoking Cessation,"""I tried Chantix for a period of 2 months.  My cravings for a cigarette eased until I cut down to about 3 per day.  The nausea lasted for about 20 minutes after each dose and got better over time.  The vivid dreams, constipation, and gas got worse. I understand this medication is not going to work the same for everyone. I believe there is a short window of opportunity when you either quit or you don&#039;t. When I was down to 3 per day, I probably should have quit.  This medicine began to make me agitated, anxious and very hard to get along with, to say the least. I still smoke unfortunately. """,7-Jul-11,7,Mild Side Effects,5
46409,Modafinil,Narcolepsy,"""I was diagnosed with Sleep Apnea, for that I got a CPAP. But I also had trouble with zombie episodes and uncontrollable sleepiness  (at work, while driving, very scary). I was diagnosed with Narcolepsy several years ago (not formally tested though). I have all the symptoms (night terrors, sleep paralysis.), but I have not been tested for it. Anyway, my Sleep Doctor put me on it primarily because of several driving issues. It seems to work well, I have not dozed off or had a zombie episode since I have been on it. I still feel tired, and I can sleep if I want to, so I feel a little more in control. I also don&#039;t feel like a speed freak, like Adderal.  I am on 200 mg in the morning for the past 2 weeks. So far I am pleased with it.""",1-Oct-09,11,Moderate Side Effects,5
212846,Sofosbuvir / velpatasvir,Hepatitis C,"""I&#039;ve had Hep c for 42 years, Unknown to me.
Had an occular migraine and ended up in hospital to find I had low platelets. Which led to hep c diagnosis
First month sick as can be nausea, headache, fatigue  and insomnia. But after 4 weeeks no hep c detected!
I&#039;m almost done my second month and symptoms wax and wane-mostly nausea and fatigue.
Hoping that after the next month my results are still perfect and that I am cured.

""",5-Apr-17,21,No Side Effects,5
220008,Amitriptyline,Pain,"""Have been taking for over 1 week now  fibromyalgia pain, I am sleeping much better and my pain is 1/2 what it was. I was told to give it 2 weeks but  I felt better after one day of using it""",26-May-16,86,Mild Side Effects,5
210425,Linzess,"Constipation, Chronic","""I just started taking Linzess 145 mg. My doctor gave me samples to try. The first few days I didn&#039;t notice anything, by the third day I finally cleared out my intestines, which was after almost a month of not having a real bowel motion.  I actually stopped taking the medication for a few days because I was concerned I wouldn&#039;t be able to go anywhere, then started again today.  In about 30-45 minutes I was in the bathroom.  I&#039;m not sure if I have to take it everyday or if I can skip a few days in between.  I will ask my doctor.  So far so good.  Anything that helps me go is a miracle.  I&#039;m happy with once every several days especially because I am used to going every couple of weeks.""",18-Dec-13,76,Mild Side Effects,5
86573,Invokana,"Diabetes, Type 2","""I started 100mg in November 2014 and my fasting glucose dropped from 140 to 113, (though it often drops within normal range) A1C only dropped from 7.8 to 7.3, I dropped 17 pounds without exercising and my appetite has diminished a great deal. My Dr. increased me to 300mg in hopes of getting my A1C in normal rage. Also my Dr. gave me a discount card that covers 100% of cost for the first year; you can get that discount by signing up on Invokana.com as well. """,2-Mar-15,46,Mild Side Effects,2
117477,Nortriptyline,Irritable Bowel Syndrome,"""This medicine has changed my life. I went a solid 10+ years living in pain and with constant diarrhea. My life revolved around going to the bathroom. I started taking nortryptaline and after a few days the pain subsided. Then, after a few months and increasing to a max dose of 40mg I now have NORMAL bowel movements. This medicine is a miracle. It also prevents my migraines which were occurring up to several times a month. I only experienced side effects of dry mouth, fatigue, and brain fog for the first couple months. I now have no negative effects. Thank you Nortryptaline for giving me a normal life.""",21-Oct-16,21,Severe Side Effects,5
